hex,name,category,class,utf8_bytes,A,B,C,D,E,F,G,H,I,J,K,L,M,auto_score,semantic_tier,effective_tier,tier_name,notes
U+200B,ZERO WIDTH SPACE,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+200C,ZERO WIDTH NON-JOINER,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+200D,ZERO WIDTH JOINER,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+200E,LEFT-TO-RIGHT MARK,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+200F,RIGHT-TO-LEFT MARK,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+061C,ARABIC LETTER MARK,Cf,directional,2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+202A,LEFT-TO-RIGHT EMBEDDING,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+202B,RIGHT-TO-LEFT EMBEDDING,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+202C,POP DIRECTIONAL FORMATTING,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+202D,LEFT-TO-RIGHT OVERRIDE,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+202E,RIGHT-TO-LEFT OVERRIDE,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+2066,LEFT-TO-RIGHT ISOLATE,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+2067,RIGHT-TO-LEFT ISOLATE,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+2068,FIRST STRONG ISOLATE,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+2069,POP DIRECTIONAL ISOLATE,Cf,directional,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+2060,WORD JOINER,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+2061,FUNCTION APPLICATION,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+2062,INVISIBLE TIMES,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+2063,INVISIBLE SEPARATOR,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+2064,INVISIBLE PLUS,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+206A,INHIBIT SYMMETRIC SWAPPING,Cf,deprecated,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+206B,ACTIVATE SYMMETRIC SWAPPING,Cf,deprecated,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+206C,INHIBIT ARABIC FORM SHAPING,Cf,deprecated,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+206D,ACTIVATE ARABIC FORM SHAPING,Cf,deprecated,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+206E,NATIONAL DIGIT SHAPES,Cf,deprecated,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+206F,NOMINAL DIGIT SHAPES,Cf,deprecated,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+3164,HANGUL FILLER,Lo,script_filler,3,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,11,2,2,GOOD,E:changed by NFKC: U+1160; F:changed by NFKD: U+1160
U+FFA0,HALFWIDTH HANGUL FILLER,Lo,script_filler,3,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,11,2,2,GOOD,E:changed by NFKC: U+1160; F:changed by NFKD: U+1160
U+FEFF,ZERO WIDTH NO-BREAK SPACE,Cf,zero_width,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+FE00,VARIATION SELECTOR-1,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE01,VARIATION SELECTOR-2,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE02,VARIATION SELECTOR-3,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE03,VARIATION SELECTOR-4,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE04,VARIATION SELECTOR-5,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE05,VARIATION SELECTOR-6,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE06,VARIATION SELECTOR-7,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE07,VARIATION SELECTOR-8,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE08,VARIATION SELECTOR-9,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE09,VARIATION SELECTOR-10,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE0A,VARIATION SELECTOR-11,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE0B,VARIATION SELECTOR-12,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE0C,VARIATION SELECTOR-13,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE0D,VARIATION SELECTOR-14,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE0E,VARIATION SELECTOR-15,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+FE0F,VARIATION SELECTOR-16,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+E0001,LANGUAGE TAG,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0020,TAG SPACE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0021,TAG EXCLAMATION MARK,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0022,TAG QUOTATION MARK,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0023,TAG NUMBER SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0024,TAG DOLLAR SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0025,TAG PERCENT SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0026,TAG AMPERSAND,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0027,TAG APOSTROPHE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0028,TAG LEFT PARENTHESIS,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0029,TAG RIGHT PARENTHESIS,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E002A,TAG ASTERISK,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E002B,TAG PLUS SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E002C,TAG COMMA,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E002D,TAG HYPHEN-MINUS,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E002E,TAG FULL STOP,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E002F,TAG SOLIDUS,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0030,TAG DIGIT ZERO,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0031,TAG DIGIT ONE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0032,TAG DIGIT TWO,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0033,TAG DIGIT THREE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0034,TAG DIGIT FOUR,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0035,TAG DIGIT FIVE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0036,TAG DIGIT SIX,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0037,TAG DIGIT SEVEN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0038,TAG DIGIT EIGHT,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0039,TAG DIGIT NINE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E003A,TAG COLON,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E003B,TAG SEMICOLON,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E003C,TAG LESS-THAN SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E003D,TAG EQUALS SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E003E,TAG GREATER-THAN SIGN,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E003F,TAG QUESTION MARK,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0040,TAG COMMERCIAL AT,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0041,TAG LATIN CAPITAL LETTER A,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0042,TAG LATIN CAPITAL LETTER B,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0043,TAG LATIN CAPITAL LETTER C,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0044,TAG LATIN CAPITAL LETTER D,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0045,TAG LATIN CAPITAL LETTER E,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0046,TAG LATIN CAPITAL LETTER F,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0047,TAG LATIN CAPITAL LETTER G,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0048,TAG LATIN CAPITAL LETTER H,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0049,TAG LATIN CAPITAL LETTER I,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E004A,TAG LATIN CAPITAL LETTER J,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E004B,TAG LATIN CAPITAL LETTER K,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E004C,TAG LATIN CAPITAL LETTER L,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E004D,TAG LATIN CAPITAL LETTER M,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E004E,TAG LATIN CAPITAL LETTER N,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E004F,TAG LATIN CAPITAL LETTER O,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0050,TAG LATIN CAPITAL LETTER P,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0051,TAG LATIN CAPITAL LETTER Q,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0052,TAG LATIN CAPITAL LETTER R,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0053,TAG LATIN CAPITAL LETTER S,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0054,TAG LATIN CAPITAL LETTER T,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0055,TAG LATIN CAPITAL LETTER U,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0056,TAG LATIN CAPITAL LETTER V,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0057,TAG LATIN CAPITAL LETTER W,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0058,TAG LATIN CAPITAL LETTER X,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0059,TAG LATIN CAPITAL LETTER Y,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E005A,TAG LATIN CAPITAL LETTER Z,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E005B,TAG LEFT SQUARE BRACKET,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E005C,TAG REVERSE SOLIDUS,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E005D,TAG RIGHT SQUARE BRACKET,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E005E,TAG CIRCUMFLEX ACCENT,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E005F,TAG LOW LINE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0060,TAG GRAVE ACCENT,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0061,TAG LATIN SMALL LETTER A,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0062,TAG LATIN SMALL LETTER B,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0063,TAG LATIN SMALL LETTER C,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0064,TAG LATIN SMALL LETTER D,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0065,TAG LATIN SMALL LETTER E,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0066,TAG LATIN SMALL LETTER F,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0067,TAG LATIN SMALL LETTER G,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0068,TAG LATIN SMALL LETTER H,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0069,TAG LATIN SMALL LETTER I,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E006A,TAG LATIN SMALL LETTER J,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E006B,TAG LATIN SMALL LETTER K,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E006C,TAG LATIN SMALL LETTER L,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E006D,TAG LATIN SMALL LETTER M,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E006E,TAG LATIN SMALL LETTER N,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E006F,TAG LATIN SMALL LETTER O,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0070,TAG LATIN SMALL LETTER P,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0071,TAG LATIN SMALL LETTER Q,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
